id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
253582709457432,192.168.100.201,172.217.169.238,13,11,9152,4743,1693307729.623128,1693307730.005139
394380340842471,192.168.100.201,13.107.236.9,1,1,85,101,1693307935.610279,1693307935.649703
676808793956674,192.168.100.201,204.79.197.2,1,1,102,132,1693307838.23789,1693307838.275148
1663994148398568,192.168.100.201,150.171.16.39,1,1,107,165,1693307935.56676,1693307935.611484
819783966590194,192.168.100.201,13.107.206.39,1,1,96,154,1693307935.525554,1693307935.564959
2023680493829672,fe80:0000:0000:0000:992f:b2ff:b8ff:0307,ff15:0000:0000:0000:0000:0000:efc0:988f,6,0,1203,0,1693308153.474664,1693308159.477511
116925453522366,192.168.100.201,150.171.21.9,1,1,85,101,1693307935.611774,1693307935.65339
1525369783947731,192.168.100.201,204.14.183.4,1,1,90,176,1693307935.692691,1693307935.734355
1243967815320437,192.168.100.201,216.239.36.10,1,1,86,102,1693307838.295797,1693307838.439838
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
963253051585688,192.168.100.201,172.217.169.238,35,30,21498,9831,1693307895.586904,1693307913.846831
1666953370888186,192.168.100.201,216.239.32.10,1,1,102,152,1693307783.747514,1693307783.887608
1667155235968899,192.168.100.201,108.59.164.4,1,1,85,85,1693307808.792451,1693307808.984409
823219953054083,192.168.100.201,192.55.83.30,6,3,447,862,1693308127.766339,1693308128.143807
119626996065333,192.168.100.201,95.100.170.170,13,13,1440,1896,1693308059.533557,1693308127.679641
1949287363307383,fe80:0000:0000:0000:bae3:1b94:d026:1168,ff02:0000:0000:0000:0000:0000:0000:00fb,2,0,210,0,1693308122.124791,1693308123.134047
682761616647909,192.168.100.201,23.235.36.32,1,1,88,176,1693307808.878309,1693307808.97288
1386784065873682,192.168.100.201,23.235.36.32,1,1,85,146,1693307808.878354,1693307808.971825
824285092317518,192.168.100.201,13.107.236.9,1,1,85,168,1693307935.788814,1693307935.829758
1668864655766810,192.168.100.156,224.0.0.251,2,0,170,0,1693308156.472346,1693308157.472169
824585748293135,192.168.100.201,23.217.110.68,1,0,97,0,1693308061.402959,1693308061.402959
2232256976383428,192.168.100.201,204.14.183.9,1,1,85,101,1693307935.650692,1693307935.691624
1528633950754219,192.168.100.201,23.235.32.32,1,1,85,146,1693307808.873899,1693307808.968229
1389425476667877,192.168.100.201,216.239.38.10,1,1,86,136,1693307898.625125,1693307898.770995
263701659458103,192.168.100.201,131.253.21.1,1,1,87,147,1693307837.793143,1693307837.834931
545842353987994,192.168.100.201,203.99.62.214,1,1,90,90,1693307804.516506,1693307804.535028
1671789507612120,192.168.100.201,192.26.92.30,1,1,83,489,1693307837.5606,1693307837.789002
1532452194799121,111.68.102.24,10.10.39.4,4,0,242,0,1693308084.839185,1693308084.847636
1533470092252683,192.168.100.201,150.171.21.4,1,1,90,106,1693307935.611851,1693307935.652304
1252038056911988,192.168.100.201,108.59.162.4,1,1,85,85,1693307808.304244,1693307808.494263
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
267880657527581,192.168.100.201,13.107.206.240,1,1,106,141,1693307759.008989,1693307759.051486
408661098784606,192.168.100.201,104.156.80.32,1,1,85,142,1693307808.87843,1693307808.973552
2238415959464842,192.168.100.201,204.14.183.4,1,1,90,176,1693307935.695178,1693307935.736344
1394545084476267,142.250.201.138,10.10.39.218,1,0,105,0,1693308002.600939,1693308002.600939
1958427051202310,172.217.169.227,10.10.39.218,9,0,4432,0,1693308084.956166,1693308085.248471
128929892806387,10.10.39.166,10.10.39.255,6,0,552,0,1693308022.929523,1693308034.73054
833351787329732,10.10.39.253,224.0.0.251,2,0,170,0,1693308225.571588,1693308226.572109
411152177834794,192.168.100.201,216.239.36.10,1,1,90,130,1693307778.600874,1693307778.747021
2100538912942340,192.168.100.201,216.239.34.10,1,1,86,102,1693307838.141572,1693307838.295712
974956840046701,192.168.100.201,208.84.5.4,1,1,90,106,1693307935.610413,1693307935.662599
1679288547088319,169.254.97.153,224.0.0.251,1,0,81,0,1693308243.595903,1693308243.595903
1538752902071744,192.168.100.201,52.182.143.211,13,17,2728,7775,1693307936.001472,1693308060.608963
2102467373419347,192.168.100.104,192.168.100.255,1,0,243,0,1693308145.052051,1693308145.052051
2243892042833241,192.168.100.201,52.182.143.211,8,11,1121,7060,1693307936.236889,1693308062.031025
976923955239738,169.254.97.153,224.0.0.252,2,0,150,0,1693308243.596794,1693308244.012833
1118550479671430,192.168.100.201,142.250.180.42,14,14,3016,4637,1693307905.856198,1693307927.406756
274958775178814,192.168.100.201,204.14.183.4,1,1,90,106,1693307935.611902,1693307935.652768
2104640617277240,111.68.102.24,10.10.39.4,2937,0,176868,0,1693307999.74732,1693308121.437168
697570675235787,192.168.100.201,13.107.5.2,1,1,87,147,1693307981.039883,1693307981.169619
697905679670794,192.168.100.201,13.107.236.4,1,1,90,176,1693307935.695818,1693307935.738362
135428175862684,192.168.100.201,150.171.21.2,1,1,92,120,1693307984.039836,1693307984.082315
